FE_H_pred,FE_H_err,LOGG_actual,FE_H_actual
-0.14324121279589208,0.010232709742081458,2.4417782,-0.087915
0.05342553679181844,0.026451810370986213,1.4647875,0.10303
-0.31018740784743004,0.016295947146079067,1.2989407,-0.41832
0.1732173053520083,0.017830635272138247,2.4463663,0.15046
-0.13742405420586298,0.0850067929756164,4.283543,-0.18827
-0.18320237032165188,0.02399734111038923,3.9143887,-0.2119
-0.2922524939460063,0.013476155915228036,2.6206117,-0.28829
-0.27232848595421627,0.16238163008928547,4.132488,-0.30206
-0.37763392452933986,0.029609526778918108,1.3521824,-0.3881
-0.10570240998365707,0.05012732531839378,4.523643,-0.068501
0.01554240109093416,0.018249299541468457,1.9307003,0.051843
-0.2839072667799595,0.08501070588583756,0.33584264,-0.37773
-0.19999416217874014,0.010630110940469733,1.7921288,-0.12588
-0.49748235750931874,0.020992018427996202,2.4743018,-0.44122
0.22232958579793344,0.032009996594138106,4.187915,0.19187
0.008888826903278163,0.14522878450208596,4.091652,0.02165
-0.36726675023896915,0.014837392736809275,1.8857663,-0.42337
0.11210922374703258,0.08266849091288714,0.4670965,0.031073
-0.4108466551135186,0.018177099070046346,2.33371,-0.36227
-0.1704508263004313,0.01182410509876366,2.6220276,-0.21269
0.08281842790780305,0.03853072234248575,4.519822,0.031097
0.3539697835024549,0.045638810591804524,4.1907916,0.125
0.166065806917085,0.019269618708677164,3.2579114,0.097207
-0.042778832219899254,0.014854796411072468,2.3265636,0.00093078986
-0.5865240972692916,0.02397139132340286,2.1639922,-0.52917
0.027269435834575195,0.017441678510742565,2.6257608,0.025573
0.15049560936292505,0.07846149594913493,0.6130782,0.23213
0.07289576706828926,0.017953660765601467,2.2284992,0.054952
-0.24894332478522713,0.009056827777352257,2.350237,-0.32818
-0.2645333437554964,0.03417418485473438,1.0665636,-0.226
-0.4324458339126366,0.021980062507505452,2.5013356,-0.44595
0.012133066147123284,0.013365960828693487,2.4538887,-0.015861
-0.33871476664736144,0.018573672949068934,3.3790858,-0.29996
-0.05133470581321284,0.031914063936927174,4.000209,0.0059066
0.08854143156050018,0.02143464178053506,3.139068,0.11196
-0.01263231630775316,0.014994920551607133,2.9726462,0.0025575
0.042170791168087696,0.01827887968717205,2.51738,0.092888
-0.3837692307614452,0.12503998294027516,-0.16751128,-1.0338
-0.3926149422626284,0.23119261367019647,3.998611,-0.077801
-0.10641956851147735,0.01139495859674581,2.4030757,-0.090652
-0.275384580145108,0.0326080082900492,1.0122705,-0.28239
-0.18070795855299868,0.019040182606398764,4.3731384,0.027649
0.23475678316832482,0.021046512338505068,2.671261,0.19912
0.012654639099053233,0.037836107999812726,3.4938853,-0.23417
